full,last,first,link,citations,h-index,i10,t10,university,rank,UniversityID,comment,trim,,,,
"Ge, Rong",Ge,Rong,https://scholar.google.com/citations?user=TWALAzsAAAAJ&hl=en&oi=ao,2937,23,40,86,Clemson University  ,Associate,14,,*,,,,
"Goddard, Wayne",Goddard,Wayne,https://scholar.google.com/citations?user=bQYoSuUAAAAJ&hl=en&oi=ao,4848,35,92,96,Clemson University  ,Full,14,,*,,,,
"Hedetniemi, Sandra M.",Hedetniemi,Sandra M.,https://scholar.google.com/citations?user=QStDPcwAAAAJ&hl=en&oi=ao,5839,35,66,129,Clemson University  ,Full,14,,*,,,,
Larry Hodges,Hodges,Larry,https://scholar.google.com/citations?user=plbm7ncAAAAJ&hl=en,18728,62,148,385,Clemson University  ,Full,14,Not listed,-,,,,
"Hu, Hongxin",Hu,Hongxin,https://scholar.google.com/citations?user=fQQXj1oAAAAJ&hl=en&oi=ao,5612,37,85,130,Clemson University  ,Associate,14,Assistant to Associate,*,,,,
"Hubig, Nina",Hubig,Nina,https://scholar.google.com/citations?hl=en&user=MmQBDlwAAAAJ,115,5,4,1,Clemson University  ,Assistant,14,New ,*,,,,
"Iuricich, Federico",Iuricich,Federico,https://scholar.google.com/citations?hl=en&user=LSgwgNoAAAAJ,345,9,8,9,Clemson University  ,Assistant,14,New ,*,,,,
Shuangshuang Jin,Jin,Shuangshuang ,,,,,,Clemson University  ,Associate,14,,*,,,,
"Joerg, Sophie",Joerg,Sophie,https://scholar.google.com/citations?hl=en&user=vIuCdRQAAAAJ,897,19,24,33,Clemson University  ,Associate,14,Assistant to Associate,*,,,,
"Karamouzas, Ioannis",Karamouzas,Ioannis,https://scholar.google.com/citations?user=WDv3eyUAAAAJ&hl=en,1241,18,25,33,Clemson University  ,Assistant,14,,*,,,,
"Knijnenburg, Bart",Knijnenburg,Bart,https://scholar.google.com/citations?user=6z6j91UAAAAJ&hl=en&oi=ao,3120,30,57,58,Clemson University  ,Assistant,14,,*,,,,
"Kramer, Elieen T.",Kramer,Eileen T.,https://scholar.google.com/citations?user=_5tjpG0AAAAJ&hl=en&oi=sra,4503,24,49,106,Clemson University  ,Full,14,,*,,,,
"Liu, Kai",Liu,Kai,https://scholar.google.com/citations?hl=en&user=4justeYAAAAJ,49,5,1,2,Clemson University  ,Assistant,14,New ,*,,,,
"Luo, Feng",Luo,Feng,https://scholar.google.com/citations?user=joROlFwAAAAJ&hl=en&oi=ao,4560,29,48,130,Clemson University  ,Full,14,Associate to Full,*,,,,
"Malloy, Brian",Malloy,Brian,,,,,,Clemson University  ,Associate,14,Not listed,-,,,,
"Martin, Jim",Martin,Jim,https://scholar.google.com/citations?user=rUUtArEAAAAJ&hl=en,54339,86,398,445,Clemson University  ,Associate,14,,*,,,,
"McGregor, John",McGregor,John,https://scholar.google.com/citations?user=UB3DRYwAAAAJ&hl=en&oi=ao,5614,34,91,139,Clemson University  ,Associate,14,Not listed,-,,,,
"McNeese, Nathan",McNeese,Nathan,https://scholar.google.com/citations?user=G1CnZ38AAAAJ&hl=en&oi=ao,683,13,16,14,Clemson University  ,Assistant,14,,*,,,,
"Patterson, Eric",Patterson,Eric,,,,,,Clemson University  ,Associate,14,,*,,,,
"Robb, Andrew",Robb,Andrew,https://scholar.google.com/citations?user=p5CTzgYAAAAJ&hl=en,297,11,12,14,Clemson University  ,Assistant,14,,*,,,,
"Rodeghero, Paige",Rodeghero,Paige,https://scholar.google.com/citations?hl=en&user=vTZVpdqxruwC,304,7,5,4,Clemson University  ,Assistant,14,New ,*,,,,
"Safro, Ilya",Safro,Ilya,https://scholar.google.com/citations?user=QYesEdIAAAAJ&hl=en&oi=ao,1803,20,40,39,Clemson University  ,Associate,14,Assistant to Associate,*,,,,
"Sitaraman, Murali",Sitaraman,Murali,https://scholar.google.com/citations?user=kLWmLJwAAAAJ&hl=en&oi=ao,2265,23,46,62,Clemson University  ,Full,14,,*,,,,
"Smotherman, Mark",Smotherman,Mark,https://scholar.google.com/citations?user=KADbB0cAAAAJ&hl=en&oi=ao,1210,18,25,32,Clemson University  ,Associate,14,,*,,,,
"Sorber, Jacob",Sorber,Jacob,https://scholar.google.com/citations?user=yXqu6esAAAAJ&hl=en&oi=ao,2296,23,33,65,Clemson University  ,Associate,14,,*,,,,
"Srimani, Pradip",Srimani,Pradip,https://scholar.google.com/citations?user=syrIRoQAAAAJ&hl=en&oi=ao,3808,35,98,73,Clemson University  ,Full,14,,*,,,,
"Tessendorf, Jerry",Tessendorf,Jerry,https://scholar.google.com/citations?hl=en&user=4kqvfdMAAAAJ,1294,13,17,19,Clemson University  ,Full,14,,*,,,,
"Ullmer, Brygg",Ullmer,Brygg,https://scholar.google.com/citations?user=JxG7a6sAAAAJ&hl=en,15501,32,45,372,Clemson University  ,Full,14,,*,,,,
"Wang, James",Wang,James,,,,,,Clemson University  ,Full,14,,*,,,,
"Yang, Yin",Yang,Yin,https://scholar.google.com/citations?hl=en&user=-z2_nggAAAAJ,648,14,21,21,Clemson University  ,Associate,14,New ,*,,,,
"Victor, Zordan",Zordan,Victor,https://scholar.google.com/citations?user=NyY8ztoAAAAJ&hl=en,3129,26,42,82,Clemson University  ,Full,14,,*,,,,
"Chaparro, Oscar",Chaparro,Oscar,https://scholar.google.com/citations?hl=en&user=B90VFVYAAAAJ,314,10,11,11,College of William and Mary  ,Assistant,15,New,*,,,,
"Evtyushkin, Dmitry",Evtyushkin,Dmitry,https://scholar.google.com/citations?user=QJ-pKL0AAAAJ&hl=en,807,10,10,12,College of William and Mary  ,Assistant,15,,*,,,,
"Hu, Tianran",Hu,Tianran,https://scholar.google.com/citations?hl=en&user=0qBjVmQAAAAJ,407,12,12,21,College of William and Mary  ,Assistant,15,New,*,,,,
"Jog, Adwait",Jog,Adwait,https://scholar.google.com/citations?user=9RgqL8gAAAAJ&hl=en&oi=ao,2047,18,18,58,College of William and Mary  ,Assistant,15,,*,,,,
"Kearns, Phil",Kearns,Phil,,,,,,College of William and Mary  ,Associate,15,Not listed,-,,,,
"Kemper, Peter",Kemper,Peter,,,,,,College of William and Mary  ,Associate,15,,*,,,,
"Kumar, Pradeep",Kumar,Pradeep,https://scholar.google.com/citations?hl=en&user=Dvd7gwMAAAAJ,124,5,4,0,College of William and Mary  ,Assistant,15,New,*,,,,
"Lewis, Robert Michael",Lewis,Robert Michael,https://scholar.google.com/citations?user=hdoSFx0AAAAJ&hl=en&oi=ao,10141,34,55,277,College of William and Mary  ,Associate,15,,*,,,,
"Li, Qun",Li,Qun,https://scholar.google.com/citations?user=hHKC6FEAAAAJ&hl=en&oi=ao,11880,53,104,233,College of William and Mary  ,Full,15,,*,,,,
"Liao, Xiaojing",Liao,Xiaojing,https://scholar.google.com/citations?user=vcjX8z0AAAAJ&hl=en&oi=ao,545,13,19,16,College of William and Mary  ,Assistant,15,Not listed,-,,,,
"Liu, Xu",Liu,Xu,https://scholar.google.com/citations?user=qhLT67EAAAAJ&hl=en,1087,21,34,34,College of William and Mary  ,Assistant,15,Not listed,-,,,,
"Liu, Zhenming",Liu,Zhenming,https://scholar.google.com/citations?user=ozfkg2sAAAAJ&hl=en,1979,17,20,52,College of William and Mary  ,Assistant,15,,*,,,,
"Mao, Weizhen",Mao,Weizhen,,,,,,College of William and Mary  ,Full,15,,*,,,,
"Nadkarni, Adwait",Nadkarni,Adwait,https://scholar.google.com/citations?user=Al2MvLoAAAAJ&hl=en&oi=ao,419,8,7,8,College of William and Mary  ,Assistant,15,,*,,,,
"Peers, Pieter",Peers,Pieter,https://scholar.google.com/citations?user=We8Oy0EAAAAJ&hl=en&oi=ao,2919,29,36,100,College of William and Mary  ,Associate,15,,*,,,,
"Poshyvanyk, Denys",Poshyvanyk,Denys,https://scholar.google.com/citations?user=gyLFs0IAAAAJ&hl=en&oi=ao,14089,69,159,245,College of William and Mary  ,Full,15,Associate to Full,*,,,,
"Ren, Bin",Ren,Bin,https://scholar.google.com/citations?user=9Uqwy4UAAAAJ&hl=en,361,11,11,11,College of William and Mary  ,Assistant,15,,*,,,,
"Smirni, Evgenia",Smirni,Evgenia,https://scholar.google.com/citations?user=1Ed4HYUAAAAJ&hl=en,5202,41,106,108,College of William and Mary  ,Full,15,,*,,,,
"Stathopoulos, Andreas",Stathopoulos,Andreas,https://scholar.google.com/citations?user=2M8BWDkAAAAJ&hl=en&oi=ao,1936,21,32,79,College of William and Mary  ,Full,15,,*,,,,
"Stefanidis, Anthony",Stefanidis,Anthony,https://scholar.google.com/citations?hl=en&user=j4EYclEAAAAJ,4220,33,68,94,College of William and Mary  ,Full,15,New,*,,,,
"Sun, Yifan",Sun,Yifan,https://scholar.google.com/citations?hl=en&user=LZg-kGAAAAAJ,454,12,12,22,College of William and Mary  ,Assistant,15,New,*,,,,
"Torczon, Virginia J.",Torczon,Virginia J.,,,,,,College of William and Mary  ,Full,15,,*,,,,
"Zhou, Gang",Zhou,Gang,https://scholar.google.com/citations?user=fOznM_YAAAAJ&hl=en&oi=ao,9420,36,95,284,College of William and Mary  ,Full,15,Associate to Full,*,,,,
"Belviranli, Mehmet",Belviranli,Mehmet,https://scholar.google.com/citations?hl=en&user=8FX4WfwAAAAJ,267,9,9,6,Colorado School of Mines  ,Assistant,16,New,*,,,,
"Camp, Tracy",Camp,Tracy,https://scholar.google.com/citations?user=8TyIlFgAAAAJ&hl=en&oi=ao,14569,36,70,276,Colorado School of Mines  ,Full,16,,*,,,,
"Dantam, Neil",Dantam,Neil,https://scholar.google.com/citations?user=J-6Ch9sAAAAJ&hl=en,661,15,17,29,Colorado School of Mines  ,Assistant,16,,*,,,,
"Han, Qi",Han,Qi,https://scholar.google.com/citations?user=CiPyIk4AAAAJ&hl=en&oi=ao,2650,24,58,64,Colorado School of Mines  ,Full,16,Associate to Full,*,,,,
"Hoff, William",Hoff,William,https://scholar.google.com/citations?user=XvoGQx4AAAAJ&hl=en&oi=ao,4138,26,44,134,Colorado School of Mines  ,Associate,16,,*,,,,
"Mahadevan, Ganesh",Mahadevan,Ganesh,https://scholar.google.com/citations?hl=en&user=i5mrPBgAAAAJ,1457,17,39,32,Colorado School of Mines  ,Full,16,Not listed,-,,,,
"Mcclurg, Jedidiah",Mcclurg,Jedidiah,https://scholar.google.com/citations?hl=en&user=SVuYyQ4AAAAJ,270,8,7,6,Colorado School of Mines  ,Assistant,16,New,*,,,,
"Mehta, Dinesh",Mehta,Dinesh,https://scholar.google.com/citations?user=LhsmMqoAAAAJ&hl=en&oi=ao,2405,20,32,53,Colorado School of Mines  ,Full,16,,*,,,,
"Wang, Hua",Wang,Hua,https://scholar.google.com/citations?hl=en&user=irHoDM8AAAAJ,3119,31,52,101,Colorado School of Mines  ,Associate,16,,*,,,,
Thomas Williams ,Williams,Thomas,https://scholar.google.com/citations?user=qg_aiScAAAAJ&hl=en,943,17,34,28,Colorado School of Mines  ,Assistant,16,,*,,,,
"Wu, Bo",Wu,Bo,https://scholar.google.com/citations?user=g6Wdt1YAAAAJ&hl=en,703,13,19,21,Colorado School of Mines  ,Associate,16,Assistant to Associate,*,,,,
"Yang, Dejun",Yang,Dejun,https://scholar.google.com/citations?user=tkoI1M4AAAAJ&hl=en&oi=ao,7253,32,63,135,Colorado School of Mines  ,Associate,16,Assistant to Associate,*,,,,
"Yue, Chuan",Yue,Chuan,https://scholar.google.com/citations?user=r4nMOKsAAAAJ&hl=en&oi=ao,916,16,23,25,Colorado School of Mines  ,Associate,16,Assistant to Associate,*,,,,
"Zhang, Hao ",Zhang,Hao ,https://scholar.google.com/citations?user=Ug2VxyUAAAAJ&hl=en,946,12,18,14,Colorado School of Mines  ,Associate,16,Assistant to Associate,*,,,,
"Anderson, Charles W.",Anderson,Charles W.,https://scholar.google.com/citations?user=NhnK838AAAAJ&hl=en&oi=sra,11257,39,88,190,Colorado State University  ,Full,17,,*,,,,
"Ben-Hur, Asa",Ben-Hur,Asa,https://scholar.google.com/citations?user=I1fl4oAAAAAJ&hl=en&oi=ao,11202,42,66,272,Colorado State University  ,Full,17,,*,,,,
"Beveridge, J. Ross",Beveridge,J. Ross,https://scholar.google.com/citations?user=pAI5S50AAAAJ&hl=en&oi=ao,9684,44,99,198,Colorado State University  ,Full,17,,*,,,,
"Blanchard, Nathaniel",Blanchard,Nathaniel,https://scholar.google.com/citations?hl=en&user=9ctSmkYAAAAJ,420,13,15,20,Colorado State University  ,Assistant,17,New,*,,,,
"Bohm, Anton. P. Willem",Bohm,Anton P. Willem,https://scholar.google.com/citations?user=FvycB6AAAAAJ,6248,37,172,95,Colorado State University  ,Full,17,,*,,,,
"Chitsaz, Hamid Reza",Chitsaz,Hamid Reza,https://scholar.google.com/citations?user=QgHaeiUAAAAJ&hl=en&oi=ao,2189,15,25,44,Colorado State University  ,Assistant,17,,*,,,,
Lorenzo De Carli,De Carli,Lorenzo ,https://scholar.google.com/citations?user=lFnZ7RkAAAAJ&hl=en,329,9,9,8,Colorado State University  ,Assistant,17,Not listed,-,,,,
"Draper, Bruce",Draper,Bruce,https://scholar.google.com/citations?user=jTiRFi8AAAAJ&hl=en&oi=ao,10873,46,126,207,Colorado State University  ,Full,17,,*,,,,
"Georg, Geri",Georg,Geri,,,,,,Colorado State University  ,Assistant,17,New,*,,,,
"Ghosh, Sudipto",Ghosh,Sudipto,https://scholar.google.com/citations?user=I5zd7t0AAAAJ&hl=en&oi=ao,4378,33,68,103,Colorado State University  ,Full,17,Associate to Full,*,,,,
"Jayasumana, Anura",Jayasumana,Anura,https://scholar.google.com/citations?hl=en&user=jDm73CQAAAAJ,3671,30,108,57,Colorado State University  ,Full,17,New,*,,,,
"Kirby, Michael",Kirby,Michael,https://scholar.google.com/citations?hl=en&user=zikbQzoAAAAJ,9874,27,57,81,Colorado State University  ,Full,17,New,*,,,,
"Krishnaswamy, Nikhil",Krishnaswamy,Nikhil,https://scholar.google.com/citations?hl=en&user=IKboTYgAAAAJ,242,9,9,7,Colorado State University  ,Assistant,17,New,*,,,,
"Malaiya, Yashwant K.",Malaiya,Yashwant K.,https://scholar.google.com/citations?user=y2fSlecAAAAJ&hl=en&oi=ao,5964,41,99,139,Colorado State University  ,Full,17,,*,,,,
"McConnell, Ross M.",McConnell,Ross M.,https://scholar.google.com/citations?user=JXsWja0AAAAJ&hl=en&oi=ao,3890,28,40,113,Colorado State University  ,Associate,17,,*,,,,
"Moreno, Laura",Moreno,Laura,https://scholar.google.com/citations?user=UJM5NfoAAAAJ&hl=en&oi=ao,1211,15,17,42,Colorado State University  ,Assistant,17,,*,,,,
"Ortega, Francisco",Ortega,Francisco,https://scholar.google.com/citations?hl=en&user=AuBa0OAAAAAJ,383,9,9,8,Colorado State University  ,Assistant,17,New,*,,,,
"Pallickara, Sangmi Lee",Pallickara,Sangmi Lee,https://scholar.google.com/citations?user=3_rdKBsAAAAJ&hl=en&oi=ao,1104,21,36,35,Colorado State University  ,Associate,17,,*,,,,
"Pallickara, Shrideep",Pallickara,Shrideep,https://scholar.google.com/citations?user=yjFpPkYAAAAJ&hl=en&oi=ao,3737,33,81,54,Colorado State University  ,Full,17,Associate to Full,*,,,,
"Partridge, Craig",Partridge,Craig,https://scholar.google.com/citations?hl=en&user=f-E5nFEAAAAJ,18336,51,110,597,Colorado State University  ,Full,17,New,*,,,,
"Papadopoulos, Christos",Papadopoulos,Christos,https://scholar.google.com/citations?user=TsVU8EcAAAAJ&hl=en&oi=ao,8291,33,78,189,Colorado State University  ,Full,17,Not listed,-,,,,
"Pasricha, Sudeep",Pasricha,Sudeep,https://scholar.google.com/citations?hl=en&user=FbvyZz4AAAAJ,4253,32,112,79,Colorado State University  ,Full,17,New,*,,,,
"Peccoud, Jean",Peccoud,Jean,https://scholar.google.com/citations?hl=en&user=AnVSQhoAAAAJ,3778,26,50,76,Colorado State University  ,Full,17,New,*,,,,
"Pouchet, Louis-Noel",Pouchet,Louis-Noel,https://scholar.google.com/citations?user=TCppIZYAAAAJ&hl=en,4223,32,71,141,Colorado State University  ,Associate,17,Assistant to Associate,*,,,,
Vinayak Prabhu,Prabhu,Vinayak,https://scholar.google.com/citations?hl=en&user=QZD0fxsAAAAJ,524,11,13,18,Colorado State University  ,Assistant,17,,*,,,,
"Rajopadhye, Sanjay",Rajopadhye,Sanjay,https://scholar.google.com/citations?user=fYOdJ-oAAAAJ&hl=en&oi=ao,3626,31,84,73,Colorado State University  ,Full,17,,*,,,,
"Ray, Indrajit",Ray,Indrajit,https://scholar.google.com/citations?user=blFs68UAAAAJ&hl=en&oi=ao,7251,39,162,106,Colorado State University  ,Full,17,,*,,,,
"Ray, Indrakshi",Ray,Indrakshi,https://scholar.google.com/citations?user=7G5G9mkAAAAJ&hl=en&oi=ao,5738,39,112,110,Colorado State University  ,Full,17,,*,,,,
"Whitley, L. Darrell",Whitley,L. Darrell,https://scholar.google.com/citations?user=0VzUxIcAAAAJ&hl=en&oi=sra,26728,67,197,559,Colorado State University  ,Full,17,,*,,,,
Alfred Aho,Aho,Alfred,https://scholar.google.com/citations?user=gb2r2ssAAAAJ&hl=en&oi=ao,85438,63,159,845,Columbia University  ,Full,18,Not listed,-,,,,
Peter K. Allen,Allen,Peter,https://scholar.google.com/citations?user=Gs5F2jYAAAAJ&hl=en&oi=ao,17620,68,195,298,Columbia University  ,Full,18,,*,,,,
Alexandr Andoni,Andoni,Alexandr,https://scholar.google.com/citations?user=Evgx6UkAAAAJ,6174,34,57,109,Columbia University  ,Associate,18,,*,,,,
Elias Bareinboim,Bareinboim,Elias,https://scholar.google.com/citations?hl=en&user=r5U-D7YAAAAJ,2165,22,36,66,Columbia University  ,Associate,18,New,*,,,,
Peter Belhumeur,Belhumeur,Peter,https://scholar.google.com/citations?user=J8YyZugAAAAJ&hl=en&oi=ao,43993,62,100,735,Columbia University  ,Full,18,,*,,,,
Steven Bellovin,Bellovin,Steven,https://scholar.google.com/citations?user=9RlvgLEAAAAJ,19858,61,136,489,Columbia University  ,Full,18,,*,,,,
Allison Bishop Lewko,Bishop,Allison,https://scholar.google.com/citations?user=YwTdf6wAAAAJ&hl=en,5416,20,25,124,Columbia University  ,Assistant,18,Not listed,-,,,,
David M. Blei,Blei,David,https://scholar.google.com/citations?user=8OYE6iEAAAAJ,95480,93,208,1791,Columbia University  ,Full,18,,*,,,,
Luca Carloni,Carloni,Luca,https://scholar.google.com/citations?user=sEAoh3MAAAAJ&hl=en&oi=ao,8167,45,118,179,Columbia University  ,Full,18,,*,,,,
Augustin Chaintreau,Chaintreau,Augustin,https://scholar.google.com/citations?user=Hb6J54cAAAAJ&hl=en&oi=ao,8291,32,46,184,Columbia University  ,Associate,18,,*,,,,
Shih-Fu Chang,Chang,Shih-Fu,https://scholar.google.com/citations?user=OMVTRscAAAAJ&hl=en&oi=ao,58884,119,506,666,Columbia University  ,Full,18,,*,,,,
Xi Chen,Chen,Xi,https://scholar.google.com/citations?user=y2pH4jcAAAAJ&hl=en,3035,23,41,65,Columbia University  ,Associate,18,,*,,,,
Lydia B Chilton,Chilton,Lydia B,https://scholar.google.com/citations?user=RpxD-7QAAAAJ&hl=en&oi=ao,3251,16,19,49,Columbia University  ,Assistant,18,,*,,,,
Michael Collins,Collins,Michael,https://scholar.google.com/citations?user=DxoenfgAAAAJ&hl=en&oi=ao,25335,58,101,817,Columbia University  ,Full,18,,*,,,,
Stephen A. Edwards,Edwards,Stephen,https://scholar.google.com/citations?user=3aw_314AAAAJ&hl=en&oi=ao,7454,34,81,149,Columbia University  ,Associate,18,,*,,,,
Yaniv Erlich,Erlich,Yaniv,https://scholar.google.com/citations?user=DbDbLZEAAAAJ&hl=en&oi=ao,13478,29,40,207,Columbia University  ,Associate,18,Not listed,-,,,,
Steven Feiner,Feiner,Steven,https://scholar.google.com/citations?user=PogsVkYAAAAJ&hl=en&oi=ao,60473,81,225,673,Columbia University  ,Full,18,,*,,,,
Roxana Geambasu,Geambasu,Roxana,https://scholar.google.com/citations?user=f8RkRagAAAAJ&hl=en,2210,21,27,65,Columbia University  ,Associate,18,Assistant to Associate,*,,,,
Luis Gravano,Gravano,Luis,https://scholar.google.com/citations?user=Ff6era8AAAAJ&hl=en&oi=ao,16070,55,97,394,Columbia University  ,Full,18,,*,,,,
Eitan Grinspun,Grinspun,Eitan,https://scholar.google.com/citations?user=0_vvBZkAAAAJ&hl=en&oi=ao,7893,45,80,144,Columbia University  ,Associate,18,Not listed,-,,,,
Ronghui Gu,Gu,Ronghui,https://scholar.google.com/citations?hl=en&user=5WLG7j8AAAAJ,605,10,10,10,Columbia University  ,Assistant,18,New,*,,,,
Julia Hirschberg,Hirschberg,Julia,https://scholar.google.com/citations?user=Qrd7FCoAAAAJ&hl=en&oi=ao,25465,77,228,446,Columbia University  ,Full,18,,*,,,,
Daniel Hsu,Hsu,Daniel,https://scholar.google.com/citations?user=Bp6tvy0AAAAJ&hl=en&oi=ao,8884,43,70,312,Columbia University  ,Associate,18,Assistant to Associate,*,,,,
Suman Jana,Jana,Suman,https://scholar.google.com/citations?user=SDY9FwUAAAAJ,5657,31,38,176,Columbia University  ,Associate,18,,*,,,,
Tony Jebara,Jebara,Tony,https://scholar.google.com/citations?user=Dn_qYK8AAAAJ&hl=en&oi=ao,19649,50,107,317,Columbia University  ,Associate,18,Not listed,-,,,,
Gail E. Kaiser,Kaiser,Gail,https://scholar.google.com/citations?user=LIdVlPsAAAAJ&hl=en&oi=ao,11667,56,180,204,Columbia University  ,Full,18,,*,,,,
John R. Kender,Kender,John,https://scholar.google.com/citations?user=RBuoCYEAAAAJ&hl=en&oi=ao,4896,35,100,100,Columbia University  ,Full,18,,*,,,,
Martha Kim,Kim,Martha,https://scholar.google.com/citations?user=gFb9vegAAAAJ&hl=en&oi=ao,1423,16,25,45,Columbia University  ,Associate,18,,*,,,,
David Knowles,Knowles,David,https://scholar.google.com/citations?hl=en&user=N9QGV6YAAAAJ,5773,32,47,209,Columbia University  ,Assistant,18,New,*,,,,
Tal Malkin,Malkin,Tal,https://scholar.google.com/citations?user=c0yPSEYAAAAJ&hl=en,8137,44,75,220,Columbia University  ,Full,18,Associate to Full,*,,,,
Kathleen McKeown,McKeown,Kathleen,https://scholar.google.com/citations?user=ujDhg2sAAAAJ&hl=en&oi=ao,23820,71,219,490,Columbia University  ,Full,18,,*,,,,
Vishal Misra,Misra,Vishal,https://scholar.google.com/citations?user=9hPnkXsAAAAJ&hl=en&oi=ao,13964,52,90,287,Columbia University  ,Full,18,,*,,,,
Shree K. Nayar,Nayar,Shree,https://scholar.google.com/citations?user=3pZs3j0AAAAJ&hl=en,57602,126,287,921,Columbia University  ,Full,18,,*,,,,
Jason Nieh,Nieh,Jason,https://scholar.google.com/citations?user=UGrnqBUAAAAJ&hl=en&oi=ao,8226,49,98,200,Columbia University  ,Full,18,,*,,,,
Steven Nowick,Nowick,Steven,https://scholar.google.com/citations?user=gaXiAekAAAAJ&hl=en&oi=ao,5728,43,86,145,Columbia University  ,Full,18,Not listed,-,,,,
"Papadimitriou, Christos H",Papadimitriou,Christos H,https://scholar.google.com/citations?user=rXYLXJMAAAAJ&hl=en&oi=ao,86569,128,309,1142,Columbia University  ,Full,18,,*,,,,
Itsik Pe'er,Pe'er,Itsik,https://scholar.google.com/citations?user=l3KIq-MAAAAJ&hl=en&oi=ao,25085,49,98,528,Columbia University  ,Associate,18,,*,,,,
Baishakhi Ray,Ray,Baishakhi,https://scholar.google.com/citations?hl=en&user=VaAEb5YAAAAJ,3118,21,29,76,Columbia University  ,Assistant,18,New,*,,,,
Kenneth Ross,Ross,Kenneth,https://scholar.google.com/citations?user=gv2S7xYAAAAJ&hl=en,12454,53,121,261,Columbia University  ,Full,18,,*,,,,
Tim Roughgarden,Roughgarden,Tim,https://scholar.google.com/citations?hl=en&user=0lcJYs8AAAAJ,20615,61,138,374,Columbia University  ,Full,18,New,*,,,,
Dan Rubenstein,Rubenstein,Dan,https://scholar.google.com/citations?user=FM3vRPgAAAAJ&hl=en&oi=ao,7403,49,81,195,Columbia University  ,Full,18,Associate to Full,*,,,,
Henning Schulzrinne,Schulzrinne,Henning,https://scholar.google.com/citations?user=6IHX8J4AAAAJ&hl=en&oi=ao,75909,91,448,813,Columbia University  ,Full,18,,*,,,,
Rocco Servedio,Servedio,Rocco,https://scholar.google.com/citations?user=vZrIrN4AAAAJ&hl=en&oi=ao,6332,46,110,110,Columbia University  ,Full,18,,*,,,,
Simha Sethumadhavan,Sethumadhavan,Simha,,,,,,Columbia University  ,Associate,18,,*,,,,
Brian Smith,Smith,Brian,https://scholar.google.com/citations?hl=en&user=u7-V5WoAAAAJ,298,6,4,0,Columbia University  ,Assistant,18,New,*,,,,
Shuran Song,Song,Shuran,https://scholar.google.com/citations?hl=en&user=5031vK4AAAAJ,10079,23,27,300,Columbia University  ,Assistant,18,New,*,,,,
Clifford Stein,Stein,Clifford,https://scholar.google.com/citations?user=r49_E2cAAAAJ&hl=en&oi=ao,70493,52,130,251,Columbia University  ,Full,18,,*,,,,
Salvatore Stolfo,Stolfo,Salvatore,https://scholar.google.com/citations?user=DknsgF8AAAAJ&hl=en,41349,97,242,802,Columbia University  ,Full,18,,*,,,,
Bjarne Stroustrup,Stroustrup,Bjarne,https://scholar.google.com/citations?hl=en&user=Rr9Y8acAAAAJ,19429,38,94,173,Columbia University  ,Full,18,Visiting,-,,,,
Vladimir Vapnik,Vapnik,Vladimir,https://scholar.google.com/citations?user=vtegaJgAAAAJ,229250,86,242,3173,Columbia University  ,Full,18,,*,,,,
"Vondrick, Carl",Vondrick,Carl,https://scholar.google.com/citations?user=3MzhkFIAAAAJ&hl=en,6041,23,28,195,Columbia University  ,Assistant,18,,*,,,,
"Weinstein, Omri",Weinstein,Omri,https://scholar.google.com/citations?hl=en&user=oRi9TIwAAAAJ,852,18,25,30,Columbia University  ,Assistant,18,,*,,,,
"Wing, Jeannette M",Wing,Jeannette M,https://scholar.google.com/citations?hl=en&user=2NjS1dUAAAAJ,29559,56,112,695,Columbia University  ,Full,18,,*,,,,
Eugene Wu,Wu,Eugene,https://scholar.google.com/citations?user=X53rkecAAAAJ&hl=en&oi=ao,5430,31,42,178,Columbia University  ,Associate,18,Assistant to Associate,*,,,,
Junfeng Yang,Yang,Junfeng,https://scholar.google.com/citations?user=JJ9AvbAAAAAJ&hl=en&oi=ao,5169,32,49,127,Columbia University  ,Associate,18,,*,,,,
Mihalis Yannakakis,Yannakakis,Mihalis,https://scholar.google.com/citations?user=_pPy-pAAAAAJ&hl=en&oi=ao,35729,92,180,786,Columbia University  ,Full,18,,*,,,,
Zhou Yu,Yu,Zhou,,,,,,Columbia University  ,Assistant,18,New,*,,,,
Henry Yuen,Yuen,Henry,,,,,,Columbia University  ,Assistant,18,New,*,,,,
Changxi Zheng,Zheng,Changxi,https://scholar.google.com/citations?user=-0rEuLgAAAAJ&hl=en&oi=ao,2263,27,45,73,Columbia University  ,Associate,18,,*,,,,
Jayadev Acharya,Acharya,Jayadev,https://scholar.google.com/citations?user=70vJVxcAAAAJ&hl=en,1610,21,37,46,Cornell University  ,Assistant,19,,*,,,,
Rachit Agarwal,Agarwal,Rachit,https://scholar.google.com/citations?user=71IXR1QAAAAJ&hl=en,1744,19,29,41,Cornell University  ,Assistant,19,,*,,,,
David Albonesi,Albonesi,David,,,,,,Cornell University  ,Full,19,,*,,,,
Lorenzo Alvisi,Alvsi,Lorenzo,https://scholar.google.com/citations?user=K_-KJi8AAAAJ&hl=en,13064,49,91,280,Cornell University  ,Full,19,,*,,,,
Erik Andersen,Andersen,Erik,https://scholar.google.com/citations?user=iDMvmEYAAAAJ&hl=en,1782,21,32,67,Cornell University  ,Assistant,19,Not listed,-,,,,
